ID,Date,Tweet,Reply_count,Retweet_count,Like_count
1323228219127046144,2020-11-02 11:39:26+00:00,"Vote for respect.
Vote for decency.
Vote for truth.
Vote for leadership.

https://t.co/eoxT07d7QB",4464,14013,113762
1323136505435561985,2020-11-02 05:35:00+00:00,"When you use your voice and vote, things can — and will — change for the better. https://t.co/eoxT07d7QB",2154,2625,20100
1323128955642253312,2020-11-02 05:05:00+00:00,"Donald Trump sees the world from Park Avenue.

I see it from where I came from: Scranton, Pennsylvania. 

It's why I'll fight every day as president to make this country work for middle class and low-income Americans — not just the wealthy and well-connected.",7160,8515,81919
1323122502751653888,2020-11-02 04:39:21+00:00,"No one fights harder for the people of Alabama than my friend, @DougJones. He's a Senator with a big heart and he's never afraid to fight for what's right.

Doug is in a tight race and needs your help to win on Tuesday. Chip in: https://t.co/jwBbBDNZfH https://t.co/6kOEbMS4Pn",952,4390,26810
1323117631033933825,2020-11-02 04:20:00+00:00,"As president, I’ll protect and build on Obamacare by: 

- Giving Americans the choice of a new public option
- Lowering premiums, deductibles, and co-pays
- Lowering the cost of prescription drugs

Learn more: https://t.co/uw7Kk0ONHA",1681,2324,15518
1323112598938767361,2020-11-02 04:00:00+00:00,"The United States of America has emerged stronger from every trial and tribulation it has faced. And if we come together, follow the science, and keep faith with each other, we will once again. I promise.",1978,7687,66434
1323105048075792385,2020-11-02 03:30:00+00:00,"This is the most important election in our lifetimes — and you have the power to make all the difference.

Vote. https://t.co/eoxT07uII9",1954,2966,21996
1323098757173448704,2020-11-02 03:05:00+00:00,"2016 taught us to take nothing for granted and to leave everything on the field.

Vote: https://t.co/eoxT07uII9 https://t.co/q4yiDddE2s",1287,4311,21504
1323096239970373638,2020-11-02 02:55:00+00:00,"When Donald Trump thinks about climate change, he thinks “hoax.” 

I think “jobs.”

We can solve our climate crisis and our economic crisis at the same time. Here’s how: https://t.co/AKl9jZKB0s",1512,3631,25123
1323087935411924993,2020-11-02 02:22:00+00:00,"This is our moment to root out systemic racism and build a nation true to our founding ideals. A nation where all men and women are not only created equal — but treated equally. 

Here's how we'll advance racial economic equity: https://t.co/Tjgyn1gR2V",2133,2442,14638
1323082401774329856,2020-11-02 02:00:00+00:00,"A more hopeful, united, and loving America is within our grasp –– but we have to vote for it.

https://t.co/eoxT07uII9 https://t.co/cxmNP5SKpH",1780,2725,16994
1323077868990193672,2020-11-02 01:42:00+00:00,Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.,4811,20189,175064
1323073590749614080,2020-11-02 01:25:00+00:00,From Arizona to Georgia to Wisconsin and beyond — we’re working hard to earn every last vote. https://t.co/mmfZspnLOU,2154,3642,38156
1323069815880327173,2020-11-02 01:10:00+00:00,"Under my tax plan, no one making under $400,000 will see their taxes go up.

But it’s time large corporations and the wealthiest Americans pay their fair share.",6601,17748,135520
1323062266200264705,2020-11-02 00:40:00+00:00,"I want to help restore hope in this country — and I have a bold vision for how, together, we can do that. https://t.co/ZdW23fhad2",2074,2458,16574
1323057366510817284,2020-11-02 00:20:32+00:00,"Together, we can make Donald Trump a one-term president.

https://t.co/eoxT07d7QB",4954,9672,98377
1323052200814366720,2020-11-02 00:00:00+00:00,"Donald Trump is trying to eliminate the entire Affordable Care Act in the middle of a pandemic.

If he gets his way, more than 100 million Americans with pre-existing conditions could see their costs skyrocket or be denied coverage altogether.

We can’t let him win. https://t.co/DoTV2uw1bn",1409,3733,16426
1323048424929898501,2020-11-01 23:45:00+00:00,It’s long past time President Trump and his wealthy friends paid their fair share in taxes.,7358,13026,129702
1323043391840481280,2020-11-01 23:25:00+00:00,"Scranton, Pennsylvania, isn't just where I'm from — it's the people I'm for. I'll fight every single day in the White House for the hardworking Americans who make our country run. https://t.co/vahd9rc1Ja",1650,4228,24859
1323030495630798848,2020-11-01 22:33:45+00:00,"Together, we can solve the crises we’re facing and win the battle for the soul of the nation. It all begins on Tuesday. Tune in as we get out the vote in Pennsylvania. https://t.co/cOqA9eN3LA",1272,2204,12473
1323023259512659968,2020-11-01 22:05:00+00:00,"Let's turn Texas blue.

https://t.co/COWdd5hED8 https://t.co/TPNH6BKXGd",3896,13461,93850
1323018225895047179,2020-11-01 21:45:00+00:00,"Donald Trump claimed he would be ""the greatest jobs president God ever created.""

Instead, he's on track to become the worst jobs president in 100 years.",4410,13702,102368
1323013947973197824,2020-11-01 21:28:00+00:00,"Don’t let anyone tell you your voice won’t count — because it will.

Make sure your voice is heard. Go to https://t.co/uoiVh9HPb8 right now and make your plan to vote.",1500,3177,18657
1323002402534928384,2020-11-01 20:42:07+00:00,Tune in as I join members of Philadelphia's faith community for a Souls to the Polls event. https://t.co/9i6yGiETvt,1233,1837,11275
1322989285377667073,2020-11-01 19:50:00+00:00,"I believe climate change is an existential threat to humanity.

Donald Trump doesn’t even think it exists.

It’s that simple, folks.",4546,16131,143909
1322981735739645953,2020-11-01 19:20:00+00:00,Fired up! https://t.co/fqFCBvwudr,4226,15767,203533
1322976702419636225,2020-11-01 19:00:00+00:00,"It’s long past time we take action to end the scourge of gun violence in America.

As president, I’ll ban assault weapons and high-capacity magazines, implement universal background checks, and enact other common-sense reforms to end our gun violence epidemic.",14248,8613,68129
1322971669355483139,2020-11-01 18:40:00+00:00,"More than 230,000 Americans have died from COVID-19 –– and Donald Trump has given up on trying to get the virus under control.

He may have quit on you, but I promise I never will.",2852,8695,66722
1322967642777550858,2020-11-01 18:24:00+00:00,"There are just two days until Election Day, and our campaign is working around the clock to get folks to vote.

Can you chip in to help us reach every last voter before polls close on Tuesday? https://t.co/owL20qONri",1483,1432,9311
1322963112857800705,2020-11-01 18:06:00+00:00,"Health care is deeply personal to me — like it is for so many Americans. And I promise you that as president, I will protect your family's health care as if it were my own. https://t.co/v6fLWHoRC7",1386,3917,22531
1322959086544211973,2020-11-01 17:50:00+00:00,"We can build a future where:

- Health care is a right
- We end the gun violence epidemic
- We combat climate change
- Our government works for everyone

Vote. https://t.co/eoxT07d7QB",1381,2465,17551
1322952795033538560,2020-11-01 17:25:00+00:00,"The Trump Administration knew how deadly this virus was back in February.

But they didn't tell you or your family. Instead, they gave a heads up to their friends on Wall Street so investors could make a profit before the recession hit.

They hid the truth. It's unforgivable.",2783,9064,49297
1322949020164202497,2020-11-01 17:10:00+00:00,"I'm running as a proud Democrat, but I will govern as an American president. https://t.co/d5tmoNSnco",1838,4783,35088
1322943986995179522,2020-11-01 16:50:00+00:00,We need a president who believes in science and listens to someone other than himself.,5603,23824,238251
1322937695606362118,2020-11-01 16:25:00+00:00,"Folks, there are just three days left to vote in this election, and we need your help to get people to the polls. Text three friends or family members and make sure they have a plan to vote. https://t.co/xu4mk3W5x2",2345,4414,30921
1322932159447924737,2020-11-01 16:03:00+00:00,"Desde sus actos atroces con la separación de familias en nuestra frontera hasta su ignorancia con el pueblo puertorriqeño después del huracán María, el presidente Trump ha atacado la dignidad de las familias latinas una y otra vez.

Esto terminará cuando yo sea presidente.",2267,4261,28890
1322927509260902401,2020-11-01 15:44:31+00:00,"The future of our planet is on the ballot.

Vote: https://t.co/eoxT07d7QB",1865,4324,42405
1322922596195684353,2020-11-01 15:25:00+00:00,"If you’re sick or struggling or worried about how you’ll get through the day: I want you to know that I see you, and I won’t forget you.

You can count on me to fight for you every day in the White House.",3016,7931,69816
1322918821242556425,2020-11-01 15:10:00+00:00,"From his heinous acts of separating families at our border to his neglect of the people of Puerto Rico after Hurricane Maria, President Trump has attacked the dignity of Latino families time and time again.

It will end when I’m president.",2567,6886,47216
1322914542892929024,2020-11-01 14:53:00+00:00,2 days. Finish strong.,7398,21876,261483
1322907244871102464,2020-11-01 14:24:00+00:00,I promise you this: I’ll end Donald Trump’s chaos and end this crisis.,13954,26989,280998
1322901204943491073,2020-11-01 14:00:00+00:00,"My faith has been a source of immeasurable solace in times of grief and a daily inspiration to fight against the abuse of power in all its forms. As president, it will continue to serve as my anchor, as it has my entire life. https://t.co/C5OqUaJKWd",4433,5025,33591
1322896675040456704,2020-11-01 13:42:00+00:00,"Right now:
 
- Almost 23 million Americans are on unemployment
- Nearly 1 in 5 small businesses have closed their doors
- Millions of people are at risk of being evicted
 
We simply can’t afford another four years of Donald Trump.",4798,8552,52322
1322892363350577154,2020-11-01 13:24:52+00:00,"Return your ballot today, folks.

https://t.co/eoxT07d7QB",1319,4968,42702
